ID,Name,Number,Tag
1,TEST,1,
10,LookAtMe,3,
11,WhatsThis,4,
12,Demonstration,5,
13,Is,2,
16,你好，我是迈迈,5,
17,嗨，我们又见面啦,5,
18,你跟我打招呼啦，我很开心,5,
19,再见啦，下次见,5,
20,你今天真厉害，下次再一起玩吧,5,
21,拜拜,2,
22,可以哦,2,
23,不知道哦,3,
101,Cat,1,
102,Dog,1,
103,Frog,1,
104,Tiger,1,
105,Lion,1,
106,Panda,1,
107,Ladybug,1,
108,Zebra,1,
109,Elephant,1,
110,Giraffe,1,
111,Shrimp,1,
112,Spider,1,
113,Crab,1,
114,Cactus,1,
115,SeaSedge,1,
116,Biscuit,1,
117,Apple,1,
118,Pear,1,
119,Egg,1,
120,Oreo,1,
121,Apricot,1,
122,Banana,1,
123,Strawberry,1,
124,Hawthorn,1,
125,XianJinZao,1,
126,CheeseStick,1,
127,Yakult,1,
128,PoliceCar,1,
129,CleaningCar,1,
130,Trolley,1,
131,Tricycle,1,
132,Ambulance,1,
133,Truck,1,
134,Bus,1,
135,Motorcycle,1,
136,FireTruck,1,
137,Drumsticks,1,
138,Blocks,1,
139,MagneticPiece,1,
140,Balloon,1,
141,Chopsticks,1,
142,Toothbrush,1,
143,Toothpaste,1,
144,Towel,1,
145,Table,1,
146,Chair,1,
147,Pen,1,
148,Cup,1,
149,Spoon,1,
150,Scissors,1,
151,Shoe,1,
152,Sock,1,
153,SunflowerSeeds,1,
154,Raisin,1,
155,Pencil,1,
156,Clay,1,
161,叉车,1,
162,搅拌车,1,
163,挖掘机,1,
164,树,1,
201,Cat,2,
205,Plane,1,
207,你看过来啦猫猫好可爱呀,1,
208,我来给你看看猫猫吧,7,
211,你在看猫猫哦,6,
215,我来给你看看飞机吧,5,
216,你在看飞机哦,2,
217,我来唱首歌给你吧,1,
218,我来给你看看小汽车吧,5,
219,你在看小汽车哦,2,
220,我来给你看看气球吧,5,
221,你在看气球哦,2,
222,我来给你看看小猴子吧,5,
223,你在看小猴子哦,2,
224,看猴子妈妈抱着猴子宝宝,1,
225,抱抱老师吧,1,
226,你给老师一个抱抱啦真棒,1,
227,迈迈也想要抱抱,1,
228,你抱我啦我喜欢和你抱抱,1,
229,你在和我握手呀我好喜欢呀,1,
230,我来唱首歌给你听吧,5,
231,你可以和我握握手吗,5,
232,你可以摸摸我的头吗,5,
233,你可以和我抱抱吗,5,
234,哇，你和我握手啦，真好,3,
235,哇，你摸我的头啦，真好,3,
236,哇，你抱抱我啦，真好,3,
301,ThatsRight,15,
302,你点对了，很好,1,
303,哇，你按对了,1,
304,小汽车推起来了，真棒,1,
305,你摇沙锤啦，很好,1,
306,哇，你好认真地在看呢,5,
307,你这段时间表现得非常好，给你点赞,5,
308,你今天地状态很不错哦，为你点赞,5,
309,哇，你全做对了，你真厉害,5,
310,你有进步哦,5,
401,你敲得真响,1,
402,像我这样做,1,
403,来看熊猫,1,
404,熊猫视频1,1,
405,熊猫视频2,1,
406,熊猫回应,1,
407,来看犀牛,1,
408,犀牛视频,1,
409,犀牛回应,1,
410,来看长颈鹿,1,
411,长颈鹿视频,1,
412,长颈鹿回应,1,
413,来看斑马,1,
414,斑马视频,1,
415,斑马回应,1,
501,点一样的,1,
502,点错了,2,
503,看，房顶是三角形,1,
504,你看，有一只小狗在椅子上,1,
505,碗可以装好多零食,1,
506,小汽车来咯,1,
507,杯子可以用来喝水,1,
601,选大的,3,
602,选小的,3,
603,选多的,2,
604,选少的,2,
605,选高的,2,
606,选矮的,2,
607,选长的,2,
608,选短的,2,
701,提问猫,1,
702,提问牛,1,
703,提问狗,1,
704,提问鸭,1,
705,提问羊,1,
706,提问鸡,1,
707,提问虎,1,
708,回答猫,3,
709,回答牛,3,
710,回答狗,3,
711,回答鸭,3,
712,回答羊,3,
713,回答鸡,3,
714,回答虎,3,
801,关联配对,3,
